Name,Url,FV,LOT,Location,Sale Date
2007 HONDA ELEMENT SC,https://www.copart.com/lot/44562552/,5J6YH18917L013623,44562552,NC - LUMBERTON,9/26/2022
2012 MAZDA 6 I,https://www.copart.com/lot/44924872/,1YVHZ8BH0C5M04637,44924872,NC - LUMBERTON,9/26/2022
2014 MERCEDES-BENZ GLK 250 BLUETEC,https://www.copart.com/lot/44982572/,WDCGG0EB3EG333838,44982572,NC - LUMBERTON,9/26/2022
2008 JEEP PATRIOT SPORT,https://www.copart.com/lot/45008382/,1J8FF28W08D759029,45008382,OH - CLEVELAND WEST,9/26/2022
2008 TOYOTA HIGHLANDER,https://www.copart.com/lot/45235251/,JTEDS41A082053495,45235251,SC - SPARTANBURG,9/26/2022
2008 TOYOTA COROLLA CE,https://www.copart.com/lot/45252812/,2T1BR30E88C933514,45252812,GA - FAIRBURN,9/26/2022
2009 ACURA MDX SPORT,https://www.copart.com/lot/45265402/,2HNYD28889H514632,45265402,NC - LUMBERTON,9/26/2022
2008 CHEVROLET COBALT LS,https://www.copart.com/lot/45266972/,1G1AK58F687324182,45266972,NC - LUMBERTON,9/26/2022
2013 TOYOTA YARIS ,https://www.copart.com/lot/45322862/,JTDKTUD32DD563335,45322862,NC - LUMBERTON,9/26/2022
2014 BMW 328 XI SULEV,https://www.copart.com/lot/45370882/,WBA3B5C54EP541768,45370882,IN - FORT WAYNE,9/26/2022
2013 CHRYSLER 200 TOURING,https://www.copart.com/lot/45511152/,1C3CCBBB5DN543162,45511152,IN - FORT WAYNE,9/26/2022
2009 HYUNDAI SANTA FE GLS,https://www.copart.com/lot/45529192/,5NMSG13DX9H298143,45529192,NC - LUMBERTON,9/26/2022
2016 KIA SOUL +,https://www.copart.com/lot/45569732/,KNDJP3A50G7819801,45569732,NC - LUMBERTON,9/26/2022
2010 FORD MUSTANG ,https://www.copart.com/lot/45701922/,1ZVBP8AN3A5102441,45701922,NC - CHINA GROVE,9/26/2022
2005 NISSAN ALTIMA S,https://www.copart.com/lot/45713002/,1N4AL11D45C364663,45713002,NC - LUMBERTON,9/26/2022
